Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2020,0_AK,121098,309698,33572
2020,0_DC,277816,177505,34652
2020,0_DE,175338,351177,57053
2020,0_ND,137958,303148,26631
2020,0_PR,121098,309698,33572
2020,0_SD,140300,324334,41808
2020,0_VT,138230,224524,25013
2020,0_WY,81191,217060,22529
2020,1_AL,96025,250831,44764
2020,1_AR,95999,398584,69560
2020,1_AZ,238202,283685,48500
2020,1_CA,79809,276511,54594
2020,1_CO,181848,153419,34408
2020,1_CT,150423,239202,38823
2020,1_FL,125418,312255,45602
2020,1_GA,110086,305345,54976
2020,1_HI,163182,293697,28371
2020,1_IA,152314,339608,36708
2020,1_ID,165129,408805,57002
2020,1_IL,41924,48633,5788
2020,1_IN,96400,278384,38712
2020,1_KS,66124,193893,37180
2020,1_KY,59761,250269,40106
2020,1_LA,81420,191584,41905
2020,1_MA,146424,321787,51066
2020,1_MD,122485,264679,35582
2020,1_ME,148116,231573,21606
2020,1_MI,106046,325063,38275
2020,1_MN,131735,301028,35210
2020,1_MO,138087,266890,40042
2020,1_MS,86775,284887,57242
2020,1_MT,105842,201707,19638
2020,1_NC,45679,192029,40492
2020,1_NE,80290,141401,17169
2020,1_NH,134652,221900,23993
2020,1_NJ,152929,280505,39259
2020,1_NM,134733,288532,51503
2020,1_NV,54683,254826,91539
2020,1_NY,246803,330902,50117
2020,1_OH,300565,424340,56479
2020,1_OK,97015,187361,36181
2020,1_OR,162636,168175,24647
2020,1_PA,248828,305274,34390
2020,1_RI,89335,129933,24193
2020,1_SC,104323,152744,20222
2020,1_TN,101673,340617,55130
2020,1_TX,66888,244231,52944
2020,1_UT,86956,226044,27240
2020,1_VA,195310,267786,37626
2020,1_WA,274836,369513,48694
2020,1_WI,167752,386242,49649
2020,1_WV,102466,370497,65686
2020,10_CA,333163,306840,51882
2020,10_FL,229997,415284,70431
2020,10_GA,100479,265956,48960
2020,10_IL,202108,187345,35641
2020,10_MI,113331,281971,38919
2020,10_NC,127391,406958,78225
2020,10_NJ,181289,324190,69253
2020,10_NY,375325,217976,88330
2020,10_OH,114782,297868,39692
2020,10_PA,163121,346046,45955
2020,10_TX,136720,236432,40492
2020,10_VA,286851,218732,42332
2020,10_WA,67834,213911,27023
2020,11_CA,378951,189900,47751
2020,11_FL,96206,222571,40221
2020,11_GA,50369,51373,6906
2020,11_IL,314825,427584,73936
2020,11_MI,214373,200854,25312
2020,11_NC,118345,255359,41789
2020,11_NJ,308239,254750,34994
2020,11_NY,115923,172699,32689
2020,11_OH,169013,361393,60931
2020,11_PA,92250,207714,43750
2020,11_TX,111466,388101,78554
2020,11_VA,176835,81529,15441
2020,12_CA,163024,144180,40299
2020,12_FL,66073,244963,37980
2020,12_GA,88359,286828,55667
2020,12_IL,104441,341314,46422
2020,12_MI,127684,349888,64601
2020,12_NC,112266,148545,23121
2020,12_NJ,140241,124803,16435
2020,12_NY,368468,115559,25217
2020,12_OH,149248,413970,66272
2020,12_PA,201698,275454,26395
2020,12_TX,218110,449012,104786
2020,13_CA,33883,170032,74208
2020,13_FL,108895,214598,28128
2020,13_GA,194049,401952,70691
2020,13_IL,183722,393732,45644
2020,13_MI,73778,242138,58039
2020,13_NC,156099,255242,48501
2020,13_NY,109123,127494,51739
2020,13_OH,180794,385995,44524
2020,13_PA,68812,253496,35623
2020,13_TX,72321,253853,57835
