Year,cd,Less_than_$5000,$5000_to_$9999,$10000_to_$14999,$15000_to_$19999,$20000_to_$24999,$25000_to_$34999,$35000_to_$49999,$50000_to_$74999,$75000_to_$99999,$100000_to_$149999,$150000_or_more
2019,0_AK,5746,4600,7294,8276,8110,17476,26315,44593,35414,49254,46182
2019,0_DC,14138,10318,12304,9470,7695,16841,21906,34694,30240,46707,80073
2019,0_DE,11281,7942,12874,12469,14976,31208,43421,64673,52472,60199,52984
2019,0_ND,9110,9039,12923,13021,12824,27603,38832,57179,45844,54543,38625
2019,0_PR,181287,141265,140140,122766,94982,145595,141659,119535,49486,33679,21805
2019,0_SD,8835,9371,15086,14366,15753,34395,45778,65179,49390,48801,30079
2019,0_VT,6278,6272,13033,11483,12240,23658,31766,48496,36349,41511,28878
2019,0_WY,4973,5480,8202,8820,8864,18664,25998,38091,31574,36095,22439
2019,1_AL,10288,10027,13333,15538,12560,26102,33533,44787,28820,30408,21393
2019,1_AR,14369,18263,26740,26214,25205,46718,55340,66608,41633,36246,19061
2019,1_AZ,11617,7305,11413,13279,16138,28985,45901,61162,46604,58746,75572
2019,1_CA,9109,7003,16214,14296,14676,26347,34846,45904,31044,33904,25060
2019,1_CO,8003,7104,7927,7975,7932,17127,25507,39331,28268,36636,42399
2019,1_CT,8285,8050,11453,10634,10092,20370,30045,42744,36551,48020,46659
2019,1_FL,7713,7400,11082,12501,14773,29654,42490,56390,39845,41929,28014
2019,1_GA,10060,9980,13415,14756,15731,28291,38883,51184,35939,37198,25315
2019,1_HI,6632,5754,6492,6491,7126,15490,25223,42265,36345,52001,56706
2019,1_IA,9943,10551,14798,16386,16171,32624,46851,64424,48171,52405,34272
2019,1_ID,12088,10029,16570,17630,19123,39747,55505,79358,51932,54678,35775
2019,1_IL,2183,1887,2374,1856,1608,3171,4331,7034,6916,10788,14331
2019,1_IN,9592,8590,11273,12252,12236,26106,34098,48093,35420,40729,25908
2019,1_KS,5517,5426,9363,10581,10204,21645,30766,41028,26863,25620,13717
2019,1_KY,9401,11002,16391,14142,14429,27027,33971,41484,25697,24191,13070
2019,1_LA,6575,6414,9032,10278,10146,17537,23121,32073,24584,28246,25127
2019,1_MA,9414,11184,17569,16591,15281,30226,39206,53560,41106,52898,42258
2019,1_MD,6499,6256,8594,10000,9978,21344,29251,43680,36097,48946,44513
2019,1_ME,5803,6522,10817,11049,10883,22921,32601,50291,39943,46672,35259
2019,1_MI,11085,11295,18218,19353,20437,39896,54175,68533,42572,38002,20654
2019,1_MN,6645,6713,13241,13031,13541,26949,42120,58861,45909,51792,33817
2019,1_MO,13299,14527,17017,17421,16790,35021,42446,53332,32025,31192,23206
