Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,0_PR,6239,33555,73692,23153,70787,29104,12717,46604,64671,167723,42986,29570,78456,369337,5332,30658,45911,17141,40976,22821,8104,19407,41751,47577,26682,20228,42749,309920,907,2897,27781,6012,29811,6283,4613,27197,22920,120146,16304,9342,35707
2019,1_MA,1612,16225,37577,8364,25590,15131,4228,22218,20786,73709,14184,9605,14708,146956,1193,14843,28459,6176,15502,11883,2501,9559,12662,21941,7892,5169,9176,116981,419,1382,9118,2188,10088,3248,1727,12659,8124,51768,6292,4436,5532
2019,2_MA,1294,14207,32599,6414,20952,9529,6162,17239,30934,65293,10898,8732,10500,133445,1040,12969,23438,4485,13186,7869,3909,8610,20440,21170,5656,4270,6403,101308,254,1238,9161,1929,7766,1660,2253,8629,10494,44123,5242,4462,4097
2019,3_MA,541,18000,48852,7105,22137,11373,7342,17442,40499,59868,13866,10590,12601,154852,448,16622,33116,5047,13980,8591,4777,8643,26620,16065,7639,5310,7994,115364,93,1378,15736,2058,8157,2782,2565,8799,13879,43803,6227,5280,4607
2019,4_MA,590,19548,36590,10322,27693,11294,7526,30364,47905,78633,14115,10243,14053,175703,408,18191,25410,7766,16658,8649,4685,17342,29920,25003,7901,5139,8631,133173,182,1357,11180,2556,11035,2645,2841,13022,17985,53630,6214,5104,5422
2019,5_MA,492,17032,35344,7296,23367,11640,11048,32731,76483,96527,23093,13327,14489,207018,349,15747,24571,5184,14133,9439,6739,18564,48422,34369,14346,6782,8373,155851,143,1285,10773,2112,9234,2201,4309,14167,28061,62158,8747,6545,6116
2019,6_MA,807,16938,30355,6690,20358,9935,7673,22729,42267,58345,14588,9778,13708,145647,580,15570,22591,4692,12417,7568,4470,12137,27480,16584,8123,4919,8516,108524,227,1368,7764,1998,7941,2367,3203,10592,14787,41761,6465,4859,5192
2019,8_MA,538,21887,26001,8939,31012,18049,11059,48665,69004,119446,26360,16257,20922,224003,327,19856,17110,6082,18567,14387,6684,25642,40739,38485,15370,8389,12365,194136,211,2031,8891,2857,12445,3662,4375,23023,28265,80961,10990,7868,8557
2019,9_MA,2185,25773,20735,7561,23391,11207,5049,20942,29343,57083,15238,10376,14361,139014,1669,24113,14381,5597,14323,8736,3351,10028,18108,14710,8530,5610,9858,104230,516,1660,6354,1964,9068,2471,1698,10914,11235,42373,6708,4766,4503
2019,7_MA,99,4264,6790,2319,6336,4497,2960,8029,18934,26107,7895,3940,3312,51930,79,3881,4915,1779,3841,3521,1349,4499,10950,8790,4726,1854,1746,43552,20,383,1875,540,2495,976,1611,3530,7984,17317,3169,2086,1566
